STT, Thời gian, Ngày tháng, TỔNG LƯU LƯỢNG 1, Tiêu thụ, LƯU LƯỢNG TỨC THỜI 1
  249, 09:00:00 , 11/01/2024 9:00:00 SA ,         652959.3, 16.7     ,                 17.0
  250, 10:00:00 , 11/01/2024 10:00:00 SA,         652973.9, 14.6     ,                 14.1
  251, 11:00:00 , 11/01/2024 11:00:00 SA,         652991.8, 17.9     ,                 18.2
  252, 12:00:00 , 11/01/2024 12:00:00 CH,         653008.8, 17.0     ,                 16.6
  253, 13:00:00 , 11/01/2024 1:00:00 CH ,         653023.8, 15.0     ,                 14.9
  254, 14:00:00 , 11/01/2024 2:00:00 CH ,         653036.0, 12.2     ,                 11.6
  255, 15:00:00 , 11/01/2024 3:00:00 CH ,         653047.1, 11.1     ,                 11.2
  256, 16:00:00 , 11/01/2024 4:00:00 CH ,         653060.1, 13.0     ,                 13.0
  257, 17:00:00 , 11/01/2024 5:00:00 CH ,         653076.6, 16.5     ,                 16.7
  258, 18:00:00 , 11/01/2024 6:00:00 CH ,         653099.8, 23.2     ,                 23.0
  259, 19:00:00 , 11/01/2024 7:00:00 CH ,         653126.4, 26.6     ,                 25.5
  260, 20:00:00 , 11/01/2024 8:00:00 CH ,         653150.4, 24.0     ,                 24.6
  261, 21:00:00 , 11/01/2024 9:00:00 CH ,         653172.4, 22.0     ,                 22.7
  262, 22:00:00 , 11/01/2024 10:00:00 CH,         653191.1, 18.8     ,                 18.9
  263, 23:00:00 , 11/01/2024 11:00:00 CH,         653205.3, 14.2     ,                 14.3
  264, 00:00:00 , 12/01/2024 12:00:00 SA,         653213.5, 8.2      ,                  8.2
  265, 01:00:00 , 12/01/2024 1:00:00 SA ,         653218.6, 5.1      ,                  5.1
  266, 02:00:00 , 12/01/2024 2:00:00 SA ,         653223.3, 4.7      ,                  5.0
  267, 03:00:00 , 12/01/2024 3:00:00 SA ,         653227.6, 4.3      ,                  4.5
  268, 04:00:00 , 12/01/2024 4:00:00 SA ,         653232.9, 5.3      ,                  5.3
  269, 05:00:00 , 12/01/2024 5:00:00 SA ,         653240.0, 7.1      ,                  6.7
  270, 06:00:00 , 12/01/2024 6:00:00 SA ,         653250.7, 10.7     ,                 10.2
  271, 07:00:00 , 12/01/2024 7:00:00 SA ,         653271.9, 21.2     ,                 21.0
  272, 08:00:00 , 12/01/2024 8:00:00 SA ,         653293.2, 21.3     ,                 20.8
  273, 09:00:00 , 12/01/2024 9:00:00 SA ,         653313.0, 19.8     ,                 19.3
  274, 10:00:00 , 12/01/2024 10:00:00 SA,         653330.3, 17.3     ,                 16.5
  275, 11:00:00 , 12/01/2024 11:00:00 SA,         653349.2, 18.9     ,                 18.5
  276, 12:00:00 , 12/01/2024 12:00:00 CH,         653368.1, 18.9     ,                 19.4
  277, 13:00:00 , 12/01/2024 1:00:00 CH ,         653384.3, 16.2     ,                 17.2
  278, 14:00:00 , 12/01/2024 2:00:00 CH ,         653396.6, 12.3     ,                 12.2
  279, 15:00:00 , 12/01/2024 3:00:00 CH ,         653408.8, 12.2     ,                 12.5
  280, 16:00:00 , 12/01/2024 4:00:00 CH ,         653421.1, 12.3     ,                 12.1
  281, 17:00:00 , 12/01/2024 5:00:00 CH ,         653437.1, 16.0     ,                 15.3
  282, 18:00:00 , 12/01/2024 6:00:00 CH ,         653460.0, 22.9     ,                 23.6
  283, 19:00:00 , 12/01/2024 7:00:00 CH ,         653485.5, 25.5     ,                 24.3
  284, 20:00:00 , 12/01/2024 8:00:00 CH ,         653509.7, 24.2     ,                 23.2
